scenario_id,title,merchant_message,expected_state
SYN-020,합성 결제 장애 케이스 020,단말기 설치는 끝났는데 신용승인 가맹점 번호가 없다고 나옵니다.,UNSPECIFIED
SYN-021,합성 결제 장애 케이스 021,승인 시 VAN 가맹점 등록 오류 문구가 반복됩니다.,UNSPECIFIED
SYN-022,합성 결제 장애 케이스 022,카드 단말기에서 가맹점 정보 미등록으로 승인 거절됩니다.,UNSPECIFIED
SYN-023,합성 결제 장애 케이스 023,단말기는 정상인데 VAN 등록이 완료되지 않은 것 같아요.,UNSPECIFIED
SYN-024,합성 결제 장애 케이스 024,오픈 매장 첫 결제에서 가맹점 번호 등록 필요 오류가 납니다.,UNSPECIFIED
SYN-025,합성 결제 장애 케이스 025,POS에서 결제를 눌러도 단말기로 요청이 안 넘어갑니다.,UNSPECIFIED
SYN-026,합성 결제 장애 케이스 026,단말기는 켜져 있는데 POS 결제 요청이 계속 타임아웃됩니다.,UNSPECIFIED
SYN-027,합성 결제 장애 케이스 027,POS와 프론트 연결이 끊긴 것 같고 결제 요청 전달이 실패합니다.,UNSPECIFIED
SYN-028,합성 결제 장애 케이스 028,카드 단말기는 정상처럼 보이는데 POS 연동 결제만 안 됩니다.,UNSPECIFIED
SYN-029,합성 결제 장애 케이스 029,POS 화면에서 결제 요청 후 프론트 응답 없음으로 멈춥니다.,UNSPECIFIED
SYN-030,합성 결제 장애 케이스 030,단말기 등록은 정상인데 POS에서 요청 전송 실패가 발생해요.,UNSPECIFIED
SYN-031,합성 결제 장애 케이스 031,POS-Front 연결 문제인지 결제 요청이 단말기까지 도달하지 않습니다.,UNSPECIFIED
SYN-032,합성 결제 장애 케이스 032,결제가 안 돼요.,UNSPECIFIED
SYN-033,합성 결제 장애 케이스 033,카드가 안 되는 것 같은데 어떤 단말기인지는 잘 모르겠습니다.,UNSPECIFIED
SYN-034,합성 결제 장애 케이스 034,오류가 떴는데 문구는 기억이 안 납니다.,UNSPECIFIED
SYN-035,합성 결제 장애 케이스 035,매장에 단말기가 여러 개인데 어느 기기 문제인지 모르겠어요.,UNSPECIFIED
SYN-036,합성 결제 장애 케이스 036,새 단말기 설치 후 결제가 안 되는 것 같은데 자세한 화면은 못 봤습니다.,UNSPECIFIED
SYN-037,합성 결제 장애 케이스 037,손님 결제가 실패했다고 하는데 카드인지 POS인지 모르겠습니다.,UNSPECIFIED
SYN-038,합성 결제 장애 케이스 038,결제 오류가 있었다고만 들었고 단말기 화면은 확인하지 못했습니다.,UNSPECIFIED
SYN-039,합성 결제 장애 케이스 039,새 단말기 설치 후 기존 단말기 승인이 안 되는데 TID 확인이 필요해 보입니다.,UNSPECIFIED
SYN-040,합성 결제 장애 케이스 040,단말기 추가 이후 기존 단말기 결제가 실패하는데 식별 설정 조회가 안 됩니다.,UNSPECIFIED
SYN-041,합성 결제 장애 케이스 041,기존 단말기 승인 실패가 반복되지만 TID 설정 조회가 계속 timeout 됩니다.,UNSPECIFIED
SYN-042,합성 결제 장애 케이스 042,새 단말기 오픈 뒤 승인 실패가 있는데 핵심 TID 조회가 실패합니다.,UNSPECIFIED
SYN-043,합성 결제 장애 케이스 043,새 단말기 설치 뒤 기존 단말기 승인이 실패하고 지원 경로 조회만 안 됩니다.,UNSPECIFIED
SYN-044,합성 결제 장애 케이스 044,TID 중복이 의심되는데 담당 이관 경로 조회가 unavailable로 나옵니다.,UNSPECIFIED
SYN-045,합성 결제 장애 케이스 045,기존 단말기 승인 실패 원인은 보이지만 support route 확인이 실패합니다.,UNSPECIFIED
SYN-046,합성 결제 장애 케이스 046,당시에는 TID가 중복된 것 같은데 현재 기록은 서로 다르게 보입니다.,UNSPECIFIED
SYN-047,합성 결제 장애 케이스 047,설치 직후 승인 실패가 있었지만 현재 TID 설정과 사고 당시 기록이 다릅니다.,UNSPECIFIED
SYN-048,합성 결제 장애 케이스 048,현장에서는 설치 직후부터 안 됐다고 하는데 현재 시스템 기록만 보면 정상처럼 보입니다.,UNSPECIFIED
SYN-049,합성 결제 장애 케이스 049,사고 시점에는 같은 TID였던 기록이 있는데 지금 조회하면 중복이 사라졌습니다.,UNSPECIFIED
SYN-050,합성 결제 장애 케이스 050,기존 단말기 승인 실패 당시 설정과 현재 설정이 달라 원인 확정이 어렵습니다.,UNSPECIFIED
