card_id,customer_id,product_id,product_name,card_opened_at,status,processing_route,settlement_account_id
CARD_AL50_0028,CUST_0086,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0028
CARD_AL50_0029,CUST_0087,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0029
CARD_AL50_0030,CUST_0088,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0030
CARD_AL50_0031,CUST_0089,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0031
CARD_AL50_0032,CUST_0090,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0032
CARD_AL50_0033,CUST_0101,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0033
CARD_AL50_0034,CUST_0102,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0034
CARD_AL50_0035,CUST_0103,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0035
CARD_AL50_0036,CUST_0231,JB_FRIENDS_CARD,JB Friends 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0036
CARD_AL50_0037,CUST_0232,JB_FRIENDS_CARD,JB Friends 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0037
CARD_AL50_0038,CUST_0233,JB_FRIENDS_CARD,JB Friends 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0038
CARD_AL50_0039,CUST_0241,JB_FRIENDS_CARD,JB Friends 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0039
CARD_AL50_0040,CUST_0242,JB_FRIENDS_CARD,JB Friends 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0040
CARD_AL50_0041,CUST_0261,JB_FRIENDS_CARD,JB Friends 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0041
CARD_AL50_0042,CUST_0341,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0042
CARD_AL50_0043,CUST_0351,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0043
CARD_AL50_0044,CUST_0352,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0044
CARD_AL50_0045,CUST_0361,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0045
CARD_AL50_0046,CUST_0362,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0046
CARD_AL50_0047,CUST_0363,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0047
CARD_AL50_0048,CUST_0381,JB_SALARY_QUICK_CASHBACK,JB 직장인 Quick Cashback 카드,2025-09-01,ACTIVE,STANDARD,ACCT_AL50_0048
CARD_AL50_0049,CUST_UNREPORTED_001,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0049
CARD_AL50_0050,CUST_UNREPORTED_002,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0050
CARD_AL50_0051,CUST_UNREPORTED_003,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0051
CARD_AL50_0052,CUST_UNREPORTED_004,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0052
CARD_AL50_0053,CUST_UNREPORTED_005,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0053
CARD_AL50_0054,CUST_UNREPORTED_006,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0054
CARD_AL50_0055,CUST_UNREPORTED_007,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0055
CARD_AL50_0056,CUST_UNREPORTED_008,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0056
CARD_AL50_0057,CUST_UNREPORTED_009,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0057
CARD_AL50_0058,CUST_UNREPORTED_010,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0058
CARD_AL50_0059,CUST_UNREPORTED_011,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0059
CARD_AL50_0060,CUST_UNREPORTED_012,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0060
CARD_AL50_0061,CUST_UNREPORTED_013,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0061
CARD_AL50_0062,CUST_UNREPORTED_014,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0062
CARD_AL50_0063,CUST_UNREPORTED_015,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0063
CARD_AL50_0064,CUST_UNREPORTED_016,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0064
CARD_AL50_0065,CUST_UNREPORTED_017,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0065
CARD_AL50_0066,CUST_UNREPORTED_018,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0066
CARD_AL50_0067,CUST_UNREPORTED_019,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0067
CARD_AL50_0068,CUST_UNREPORTED_020,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0068
CARD_AL50_0069,CUST_UNREPORTED_021,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0069
CARD_AL50_0070,CUST_UNREPORTED_022,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0070
CARD_AL50_0071,CUST_UNREPORTED_023,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0071
CARD_AL50_0072,CUST_UNREPORTED_024,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0072
CARD_AL50_0073,CUST_UNREPORTED_025,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0073
